,id,name,cd_wd_id,cd_name
44,0b35ff512de01b12a6297908d919c53487f6346e,Stephanie Krisper,Q42256930,Stephanie Krisper
45,0c4c0ef415fe52fe96893c980a2956e28d1503e5,Herwig Ostermann,,
46,0d5180916b56df69181c5fcaf4489e764abb132f,Elisabeth Dieringer-Granza,Q47005555,Elisabeth Dieringer-Granza
47,0e0a7a90363c2f10d3e3ecee5fff3d59a50e85c8,Bernd Brünner,Q823332,Bernd Brunner
48,0e0a7a90363c2f10d3e3ecee5fff3d59a50e85c8,Bernd Brünner,Q96175863,Bernd BRUNNER. Birdmania: a Remarkable Passion for Birds.
49,0e7859b4f6a2af3ba613a241ef0f24224712e6fa,Andreas Kühberger,Q42856558,Andreas Kühberger
50,0e8ae4242e6e05e5737b907fd0eddff565ddf2a2,Katharina Weninger,Q102353121,Katharina Weninger
51,0ea54fee26d0a8a631a27699e3790eb8788f8682,Udo Guggenbichler,Q33126044,Udo Guggenbichler
52,0eb56811d2e9ab622b5d6aee0a4fb130cfb49b24,Georg Rosner,Q28600384,Georg Rosner
53,0ecf263245713a1cec08d9d7881d417688786015,David Redecsy,Q15115169,David Redecsy
54,0ee3b7f1978db54f2e32effefad053e841bd7838,Cornelia Izzo,Q79397256,Cornelia Niesenbacher
55,0f7314dbf24a5168ee22f575dcb610627d899d04,Peter Schmiedlechner,Q43140569,Peter Schmiedlechner
56,0f7993acc74190c2c1f6f12794079b26cc9e386a,Susanne Andexlinger,Q72291085,Susanne Andexlinger
57,0f9335c14d5c3498f5b48683f7011343b3473b3b,Franz Schnabl,Q1448939,Franz Schnabl
58,0fc452b565fbbde9c9d52616cbacae6df6374572,David Ellensohn,Q1174327,David Ellensohn
59,1097df1b1141bdd9f3d75fabfc505f8415846d39,Petra Steger,Q15618404,Petra Steger
60,10e9053dc08f3a806041f6f4f0ec796ba04ad46e,Ömer Öztas,Q102353107,Ömer Öztas
61,116c199a5251075504985cb8369e4f746e189d61,Manfred Hofinger,Q15616494,Manfred Hofinger
62,117870b33c757e720910a06bf13eed4e34854bf1,Herbert Kickl,Q1395041,Herbert Kickl
63,1242f5504de90bfad1ec9ed2fb563dd89131f06a,Johannes Margreiter,Q69352200,Johannes Margreiter
64,12483fc19a9fc067bd2afe034f528b06556a8f3a,Wolfgang Sobotka,Q2591433,Wolfgang Sobotka
65,12d3fc9a326db0246ab59e6ed70df7e6bcf05239,Roman Kainrath,Q84091636,Roman Kainrath
66,12da852d51876602fa511f6c80877423a01363c9,Waltraud Rohrer,Q17326898,Waltraud Rohrer
67,135b479f98a416c727589600c0b951b381581950,Claudia Plakolm,Q42294925,Claudia Plakolm
68,13912cf92bdae870b443a62edaadd2774498cea4,Philipp Schrangl,Q15602115,Philipp Schrangl
69,140abc30721bd424d1efc90b411a3add1de880b6,Johanna Jachs,Q42305634,Johanna Jachs
70,146f90b73e9065517d04d00c460ccd8f554406bf,Ilse Fitzbauer,Q102353084,Ilse Fitzbauer
71,148bd989ef9bd840aec575fe52f7da1dc94e5ba2,Anton Mahdalik,Q591654,Anton Mahdalik
72,14a1701f1a50d008d086cb253486153e1573357a,Bruno Aschenbrenner,Q57731474,Bruno Aschenbrenner
73,14a7ec214a7f0a0b6208ab58918650ae42f564f0,Alexander Pinter,Q79397345,Alexander Pinter
74,14a7ec214a7f0a0b6208ab58918650ae42f564f0,Alexander Pinter,Q549589,Sándor Pintér
75,14f0cc3426335e4cdc152df269a70e411878392d,Melanie Eckhardt,Q84091600,Melanie Eckhardt
76,1530d3a5fb6877b57ff77d2f61ea63429cdc716f,Andreas Höferl,Q102353093,Andreas Höferl
77,15a1a4d63ec3c3affd64bcbbc13041c30bb0c6f2,Johannes Hahn,Q78647,Johannes Hahn
78,15a1a4d63ec3c3affd64bcbbc13041c30bb0c6f2,Johannes Hahn,Q1632759,Johannes Hahn
79,15a1a4d63ec3c3affd64bcbbc13041c30bb0c6f2,Johannes Hahn,Q66088507,Johannes Hahn
80,15a1a4d63ec3c3affd64bcbbc13041c30bb0c6f2,Johannes Hahn,Q1697616,Johannes Hahn
81,15a1a4d63ec3c3affd64bcbbc13041c30bb0c6f2,Johannes Hahn,Q94845714,Johannes Hahn
82,15a1a4d63ec3c3affd64bcbbc13041c30bb0c6f2,Johannes Hahn,Q55768019,Johannes Hähnlein
83,15a1a4d63ec3c3affd64bcbbc13041c30bb0c6f2,Johannes Hahn,Q63830583,Johannes Hähner
84,15a1a4d63ec3c3affd64bcbbc13041c30bb0c6f2,Johannes Hahn,Q102419279,Johannes Hahn
85,15a29fbe94ae69bb43ebee4946d585fb2694f2fa,Susanne Raab,Q80289609,Susanne Raab
86,16046dd0adc984b0238eb4cf8a642b4f688dd1c2,Doris Berger-Grabner,Q61283763,Doris Berger-Grabner
87,161c35bf8dc96b7051a182051afc38b8ecfdf45d,Manuela Auer,Q42562560,Manuela Auer
88,161c35bf8dc96b7051a182051afc38b8ecfdf45d,Manuela Auer,Q97752249,Manuela Auer
89,165f73821043e2aa02f2b219876abe899f4077e6,Christoph Wiederkehr,Q22570073,Christoph Wiederkehr
90,16b67164b111e77cc2e1fde1e793365e42dd33d3,Sebastian Huber,Q70733,Sebastian Huber
91,16b67164b111e77cc2e1fde1e793365e42dd33d3,Sebastian Huber,Q2262806,Sebastian Huber
92,16b67164b111e77cc2e1fde1e793365e42dd33d3,Sebastian Huber,Q52557439,Sebastian Huber
93,16b67164b111e77cc2e1fde1e793365e42dd33d3,Sebastian Huber,Q26208625,Sebastian Huber
94,16b67164b111e77cc2e1fde1e793365e42dd33d3,Sebastian Huber,Q2262803,Sebastian Huber
95,16b67164b111e77cc2e1fde1e793365e42dd33d3,Sebastian Huber,Q54877383,Sebastian Huber
96,16b67164b111e77cc2e1fde1e793365e42dd33d3,Sebastian Huber,Q94883151,Sebastian Huber
97,16b67164b111e77cc2e1fde1e793365e42dd33d3,Sebastian Huber,Q51652292,Sebastian D Huber
98,17049da7186ec8781739ccd6646d6f3bdb089753,Christian Lausch,Q1080771,Christian Lausch
99,171cb1614578cfdfd3758dfd965eae133b0cc6be,Beate Palfrader,Q813172,Beate Palfrader
100,172a5d327ef12b847dfd4b97ad1a8531193f90ed,Christoph Zarits,Q42344335,Christoph Zarits
101,17453e2772e338c31fc061d7a711df9b9d270866,Patrick Wiedl,Q74824718,Patrick Wiedl
102,17a108ebdfe9ff014dae8c20917ceb463151de26,Heike Grebien,Q81616173,Heike Grebien
103,17c1dcae75994776ec2c44da83428f239e8c6f6f,Martin Schuster,Q1904998,Martin Schuster
104,17c1dcae75994776ec2c44da83428f239e8c6f6f,Martin Schuster,Q63865082,Martin Schuster
105,17c1dcae75994776ec2c44da83428f239e8c6f6f,Martin Schuster,Q95312905,Martin Schuster
106,17c1dcae75994776ec2c44da83428f239e8c6f6f,Martin Schuster,Q3296002,Martín Schusterman
107,17c1dcae75994776ec2c44da83428f239e8c6f6f,Martin Schuster,Q88437871,Martin Schuster
108,17c1dcae75994776ec2c44da83428f239e8c6f6f,Martin Schuster,Q102770655,Martin Schuster
109,17c1dcae75994776ec2c44da83428f239e8c6f6f,Martin Schuster,Q99395335,Martin Schuster
110,17fa0dc03efebebe90d636e9a1c979da202408ae,Monika Vana,Q1944783,Monika Vana
111,181d829859d6662bfe488d0d401bb0a9a057138a,Elisabeth Pfurtscheller,Q15807820,Elisabeth Pfurtscheller
112,185d38266d77625db4181f37aba354e5b2c4bd22,Ernst Lassacher,Q53538575,Ernst Lassacher
113,1880f637ad05c4f7f83a42a65507e4bb82431804,Andrea Kahofer,Q55470271,Andrea Kahofer
114,18a20f5dadba07176473841f260079568ee81545,Harald Himmer,Q1482101,Harald Himmer
115,18ce4e1afcf7dd7cd9386dfcd9956968386b472c,Elisabeth Fleischanderl,Q51078159,Elisabeth Fleischanderl
116,18d87f18f2ae9a064e0d46ee8879599028e06e0b,Georg Bürstmayr,Q38057788,Georg Bürstmayr
117,19a16f11290789a98a4f533b6b745c4201f2fcb5,Bettina Zopf,Q72311418,Bettina Zopf
118,1a3bfcc7e4cfa80c53cd5126a9b3cf20d72e0177,Walter Rosenkranz,Q2545990,Walter Rosenkranz
119,1aa291344fb2e4dfa20e8f0684addaa81185d978,Elisabeth Grossmann,Q975178,Elisabeth Grossmann
120,1aa291344fb2e4dfa20e8f0684addaa81185d978,Elisabeth Grossmann,Q95210085,Elisabeth Grossmann
